index,user,samples,penalty,decay,espsilon,nu,sigma,3_low_bound,3_up_bound,E,Var,mu_first
75,s036,12300-12350,10,0.4,-3,-1.241899322,0.001568476,0.287479205,0.290197401,0.288835461,0.030690758,0.499988298
76,s036,12350-12400,10,0.4,-3,-1.305588194,0.011342076,0.26194665,0.280393315,0.271030512,0.027026995,0.402323158
77,s036,12000-12050,1,0.4,-3,-1.508166109,0.013936373,0.212253231,0.230764634,0.221336968,0.018025934,0.295648853
78,s036,12050-12100,1,0.4,-3,-1.282915878,0.005687954,0.272537314,0.281998926,0.277232243,0.028275289,0.42240571
79,s036,12100-12150,1,0.4,-3,-1.317496464,0.007445426,0.261889468,0.273853993,0.267812346,0.026387046,0.400926364
80,s036,12150-12200,1,0.4,-3,-1.342531305,0.006968537,0.25578017,0.266701374,0.261190037,0.025098041,0.402785376
81,s036,12200-12250,1,0.4,-3,-1.253166265,0.00390743,0.282270752,0.288966656,0.285601262,0.030007678,0.444483276
82,s036,12250-12300,1,0.4,-3,-1.242623211,0.001373228,0.287439495,0.289817598,0.288626369,0.030646321,0.512831754
83,s036,12300-12350,1,0.4,-3,-1.241192112,0.001562438,0.287687796,0.290397444,0.289039798,0.030734197,0.500800385
84,s036,12350-12400,1,0.4,-3,-1.317426156,0.010488849,0.259527475,0.276385235,0.267838485,0.026393638,0.402411606
85,s002,0-50,1,0.3,-3,-1.329770023,0.014703189,0.253123039,0.276467929,0.264566688,0.025755485,0.609714413
86,s002,50-100,1,0.3,-3,-1.469174342,0.034421573,0.207538366,0.255148481,0.230251769,0.019526574,0.774082188
87,s002,100-150,1,0.3,-3,-1.489713871,0.029793797,0.206161536,0.246514989,0.22553723,0.018729557,0.851161253
88,s002,150-200,1,0.3,-3,-1.474157788,0.032998289,0.207390321,0.252798406,0.229096184,0.019329211,0.951454656
89,s002,200-250,1,0.3,-3,-1.622597822,0.132627651,0.132591703,0.293841471,0.19912893,0.014846139,0.987967207
90,s002,250-300,1,0.3,-3,-1.624878637,0.07291387,0.158243507,0.245088226,0.197459768,0.014420213,1.08318463
91,s002,300-350,1,0.3,-3,-1.491783734,0.049877562,0.193705479,0.261283032,0.225251021,0.018711969,0.965341806
92,s002,350-400,1,0.3,-3,-1.280631833,0.015601739,0.265155973,0.291176223,0.277895503,0.028416741,0.807475187
